Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,Id
27266,2.52,Very Good,G,SI2,63.2,58.0,17689,8.65,8.61,5.45,27265
27676,2.48,Very Good,F,SI2,63.4,56.0,18692,8.64,8.55,5.45,27675
15685,2.49,Fair,J,I1,66.3,58.0,6289,8.26,8.18,5.45,15684
27524,2.51,Premium,I,SI2,62.3,57.0,18255,8.76,8.69,5.44,27523
26824,2.51,Very Good,E,SI2,63.1,56.0,16717,8.65,8.6,5.44,26823
27426,2.51,Very Good,H,SI2,63.6,58.0,18029,8.51,8.59,5.44,27425
26270,2.46,Ideal,G,SI2,63.0,56.0,15745,8.6,8.52,5.44,26269
27240,2.52,Good,G,SI2,63.7,59.0,17608,8.57,8.52,5.44,27239
16440,2.22,Fair,H,I1,70.1,55.0,6564,7.77,7.74,5.44,16439
26658,2.59,Ideal,J,VS1,61.7,56.0,16465,8.83,8.77,5.43,26657
26091,2.51,Ideal,H,SI1,62.9,56.0,15324,8.65,8.61,5.43,26090
26271,2.48,Very Good,H,SI2,63.3,56.0,15746,8.6,8.55,5.43,26270
27341,2.48,Very Good,H,SI1,63.3,56.0,17893,8.6,8.55,5.43,27340
27650,3.01,Good,H,SI2,57.6,64.0,18593,9.44,9.38,5.42,27649
27177,2.48,Very Good,I,SI2,63.0,62.0,17448,8.58,8.62,5.42,27176
24435,2.54,Ideal,I,SI2,61.4,54.0,12687,8.83,8.78,5.41,24434
27417,2.51,Premium,J,VS2,62.2,58.0,18020,8.73,8.67,5.41,27416
27186,2.44,Very Good,J,SI1,62.9,53.0,17472,8.58,8.62,5.41,27185
25454,2.51,Good,I,SI2,63.7,61.0,14209,8.51,8.48,5.41,25453
17957,2.31,Fair,G,I1,67.4,56.0,7257,8.05,7.99,5.41,17956
16638,2.25,Fair,H,I1,67.7,58.0,6653,8.01,7.97,5.41,16637
27406,2.54,Very Good,I,SI2,62.4,60.0,17996,8.58,8.73,5.4,27405
27000,2.53,Fair,H,SI2,64.6,59.0,17103,8.54,8.45,5.4,26999
26456,2.53,Ideal,J,SI2,61.5,53.0,15993,8.78,8.74,5.39,26455
27024,2.51,Ideal,H,SI2,62.0,57.0,17162,8.72,8.67,5.39,27023
25875,2.47,Premium,I,SI2,62.5,56.0,14970,8.65,8.6,5.39,25874
26819,2.53,Ideal,I,SI1,62.4,57.0,16709,8.68,8.59,5.39,26818
25733,2.53,Premium,H,SI2,62.6,60.0,14659,8.66,8.55,5.39,25732
27006,2.57,Premium,E,SI2,61.3,60.0,17116,8.82,8.73,5.38,27005
25965,2.53,Premium,H,SI2,61.1,57.0,15148,8.82,8.76,5.37,25964
27285,2.56,Ideal,J,SI1,61.4,58.0,17753,8.73,8.76,5.37,27284
27095,2.52,Ideal,I,SI1,61.5,56.0,17231,8.76,8.69,5.37,27094
27564,2.32,Very Good,I,SI1,63.2,59.0,18371,8.55,8.44,5.37,27563
20338,2.0,Fair,I,SI2,69.1,56.0,8736,7.84,7.7,5.37,20337
25763,2.54,Premium,H,SI2,61.3,58.0,14717,8.8,8.7,5.36,25762
27732,2.55,Premium,I,VS1,61.8,62.0,18766,8.7,8.65,5.36,27731
26767,2.45,Ideal,F,SI2,62.0,55.0,16589,8.67,8.64,5.36,26766
24581,2.48,Ideal,I,SI2,62.3,57.0,12883,8.64,8.58,5.36,24580
26805,2.4,Ideal,J,SI1,62.7,57.0,16687,8.6,8.5,5.36,26804
13758,2.22,Fair,J,I1,66.7,56.0,5607,8.04,8.02,5.36,13757
13003,2.14,Fair,J,I1,69.4,57.0,5405,7.74,7.7,5.36,13002
24674,2.44,Premium,I,SI2,61.4,56.0,13027,8.74,8.7,5.35,24673
26886,2.42,Ideal,H,SI2,62.3,57.0,16826,8.62,8.55,5.35,26885
26964,2.4,Ideal,I,SI2,63.8,58.0,17039,8.41,8.37,5.35,26963
24628,2.34,Good,J,VS2,63.9,62.0,12961,8.4,8.34,5.35,24627
21449,2.0,Fair,H,SI2,68.7,55.0,9549,7.9,7.67,5.35,21448
27552,2.49,Premium,I,SI2,61.2,56.0,18325,8.76,8.7,5.34,27551
27551,2.5,Good,J,VS2,62.0,58.0,18325,8.63,8.6,5.34,27550
26139,2.47,Ideal,J,SI2,62.1,57.0,15430,8.64,8.57,5.34,26138
27675,2.43,Premium,J,VS2,62.2,57.0,18692,8.63,8.54,5.34,27674
26938,2.41,Ideal,I,SI2,62.5,57.0,16987,8.57,8.51,5.34,26937
23890,2.4,Ideal,I,SI2,62.8,57.0,11988,8.52,8.49,5.34,23889
24617,2.3,Good,I,SI2,63.8,55.0,12944,8.4,8.35,5.34,24616
26100,2.0,Fair,F,SI2,70.2,57.0,15351,7.63,7.59,5.34,26099
19867,2.68,Premium,G,I1,58.6,60.0,8419,9.11,9.07,5.33,19866
25779,2.58,Very Good,D,SI2,58.9,63.0,14749,9.08,9.01,5.33,25778
25819,2.37,Premium,I,VS2,61.6,56.0,14837,8.7,8.6,5.33,25818
27397,2.39,Ideal,I,VS2,62.2,55.0,17955,8.58,8.56,5.33,27396
25769,2.43,Premium,I,SI2,62.2,60.0,14727,8.59,8.53,5.33,25768
26816,2.36,Ideal,I,SI2,62.8,55.0,16707,8.47,8.5,5.33,26815
27635,2.4,Ideal,H,SI2,62.0,55.0,18541,8.6,8.57,5.32,27634
27449,2.32,Ideal,H,SI1,62.6,57.0,18080,8.46,8.52,5.32,27448
26569,2.38,Premium,J,VS2,62.6,59.0,16273,8.52,8.49,5.32,26568
24841,2.33,Good,G,SI2,63.9,60.0,13242,8.37,8.3,5.32,24840
27147,2.39,Ideal,J,VS1,62.1,57.0,17365,8.53,8.57,5.31,27146
25922,2.33,Ideal,I,VS2,62.4,57.0,15073,8.52,8.47,5.31,25921
24182,2.38,Premium,J,SI1,62.4,58.0,12364,8.54,8.46,5.31,24181
20839,2.28,Good,J,SI2,63.6,57.0,9068,8.37,8.32,5.31,20838
17482,2.11,Fair,F,I1,67.6,57.0,7019,7.88,7.83,5.31,17481
27457,2.45,Ideal,J,VS2,60.4,56.0,18113,8.72,8.81,5.3,27456
27490,2.52,Premium,F,SI2,60.6,60.0,18179,8.78,8.7,5.3,27489
26448,2.5,Ideal,J,SI2,60.7,55.0,15990,8.8,8.66,5.3,26447
27221,2.36,Ideal,H,SI2,62.2,55.0,17569,8.51,8.56,5.3,27220
25459,2.28,Good,J,SI1,63.7,55.0,14220,8.28,8.35,5.3,25458
23496,2.29,Very Good,H,SI2,63.4,57.0,11502,8.4,8.33,5.3,23495
25480,2.27,Good,H,SI2,63.6,58.0,14249,8.37,8.29,5.3,25479
25532,2.28,Good,J,SI1,63.7,55.0,14350,8.35,8.28,5.3,25531
24279,2.22,Fair,G,SI2,64.4,58.0,12508,8.32,8.15,5.3,24278
23195,2.0,Premium,H,SI2,62.1,60.0,11202,8.1,8.01,5.3,23194
25650,2.51,Premium,H,SI2,60.6,61.0,14543,8.88,8.68,5.29,25649
27622,2.37,Ideal,J,SI1,61.9,55.0,18508,8.53,8.56,5.29,27621
23098,2.34,Very Good,H,I1,62.4,55.4,11119,8.44,8.51,5.29,23097
27640,2.38,Premium,J,VS2,62.1,58.0,18559,8.54,8.49,5.29,27639
23215,2.34,Ideal,H,I1,62.4,55.0,11221,8.51,8.44,5.29,23214
26451,2.3,Premium,H,SI2,62.7,56.0,15992,8.46,8.42,5.29,26450
15816,2.14,Fair,H,I1,66.4,56.0,6328,8.0,7.92,5.29,15815
27315,2.36,Ideal,J,VS1,61.6,57.0,17829,8.6,8.55,5.28,27314
26314,2.34,Premium,I,SI1,61.7,60.0,15818,8.59,8.53,5.28,26313
25416,2.36,Ideal,H,SI2,61.8,56.0,14146,8.57,8.53,5.28,25415
26400,2.39,Premium,H,SI1,61.8,58.0,15917,8.57,8.52,5.28,26399
26476,2.3,Ideal,J,VS2,62.4,56.0,16062,8.44,8.49,5.28,26475
27455,2.3,Ideal,H,SI2,62.6,54.0,18108,8.42,8.46,5.28,27454
25738,2.32,Premium,J,SI2,62.5,58.0,14666,8.47,8.43,5.28,25737
26257,2.27,Ideal,I,SI2,63.0,54.0,15710,8.36,8.39,5.28,26256
17561,2.25,Fair,G,I1,64.9,58.0,7069,8.15,8.12,5.28,17560
27027,2.42,Premium,J,VS2,61.3,59.0,17168,8.61,8.58,5.27,27026
27658,2.42,Premium,J,VS2,61.3,59.0,18615,8.61,8.58,5.27,27657
26975,2.32,Premium,J,VS2,62.4,57.0,17053,8.48,8.4,5.27,26974
27497,2.3,Ideal,I,VS2,62.6,56.0,18190,8.45,8.4,5.27,27496
27086,2.31,Premium,I,SI2,62.9,58.0,17218,8.43,8.34,5.27,27085
26529,2.28,Ideal,I,SI2,62.9,57.0,16187,8.41,8.34,5.27,26528
24597,2.28,Very Good,H,SI2,63.3,54.0,12907,8.36,8.29,5.27,24596
15866,2.02,Fair,G,I1,68.0,55.0,6346,7.77,7.72,5.27,15865
15782,2.01,Fair,G,I1,70.2,57.0,6315,7.53,7.5,5.27,15781
27108,2.42,Premium,I,VS1,59.8,59.0,17262,8.8,8.78,5.26,27107
23784,2.45,Very Good,J,SI2,60.6,63.0,11843,8.71,8.66,5.26,23783
25056,2.41,Premium,I,SI2,60.7,59.0,13563,8.7,8.64,5.26,25055
27198,2.33,Ideal,I,VS2,62.0,57.0,17504,8.52,8.45,5.26,27197
27273,2.31,Very Good,I,SI1,62.5,55.0,17715,8.39,8.44,5.26,27272
25860,2.27,Premium,I,SI2,62.5,59.0,14937,8.45,8.39,5.26,25859
27408,2.35,Premium,H,SI1,62.6,60.0,17999,8.42,8.38,5.26,27407
24599,2.0,Fair,I,VS1,66.3,54.0,12907,7.98,7.88,5.26,24598
26572,2.51,Premium,J,SI2,59.3,58.0,16278,8.83,8.87,5.25,26571
26645,2.51,Premium,J,SI2,59.3,58.0,16427,8.87,8.83,5.25,26644
22441,2.46,Premium,E,SI2,59.7,59.0,10470,8.82,8.76,5.25,22440
27120,2.35,Premium,I,SI2,61.1,58.0,17294,8.63,8.56,5.25,27119
21626,2.43,Premium,G,I1,61.7,60.0,9716,8.54,8.49,5.25,21625
26497,2.31,Premium,J,VVS1,62.1,58.0,16100,8.49,8.42,5.25,26496
25627,2.29,Ideal,J,SI2,62.8,56.0,14500,8.36,8.39,5.25,25626
27254,2.29,Premium,H,SI2,62.5,58.0,17666,8.43,8.37,5.25,27253
25457,2.3,Ideal,H,SI2,62.6,57.0,14215,8.4,8.35,5.25,25456
25279,2.26,Very Good,H,SI2,63.3,59.0,13923,8.35,8.26,5.25,25278
16257,2.07,Fair,G,I1,67.7,56.0,6503,7.76,7.73,5.25,16256
27081,2.6,Premium,J,SI2,58.3,61.0,17209,9.05,8.94,5.24,27080
26743,2.47,Premium,J,SI2,59.4,59.0,16532,8.85,8.79,5.24,26742
25481,2.51,Good,G,SI2,59.5,65.0,14251,8.87,8.74,5.24,25480
27396,2.4,Very Good,I,SI2,60.6,58.5,17955,8.59,8.67,5.24,27395
22671,2.38,Premium,J,SI2,60.6,59.0,10716,8.66,8.63,5.24,22670
23235,2.36,Ideal,I,SI2,60.8,54.0,11238,8.68,8.57,5.24,23234
23613,2.33,Premium,J,SI1,61.1,58.0,11638,8.6,8.56,5.24,23612
25804,2.33,Very Good,J,VS2,61.8,59.0,14801,8.41,8.56,5.24,25803
27542,2.3,Ideal,H,SI2,61.6,56.0,18304,8.48,8.52,5.24,27541
27442,2.29,Very Good,I,SI1,61.8,59.0,18068,8.44,8.51,5.24,27441
27745,2.29,Premium,I,SI1,61.8,59.0,18797,8.52,8.45,5.24,27744
26905,2.26,Ideal,I,SI1,62.4,57.0,16904,8.43,8.37,5.24,26904
26617,2.28,Premium,J,VS2,62.4,58.0,16369,8.45,8.35,5.24,26616
16505,2.1,Fair,G,I1,67.4,59.0,6597,7.82,7.76,5.24,16504
25155,2.29,Ideal,J,SI2,61.8,56.4,13726,8.4,8.5,5.23,25154
26601,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23,26600
27337,2.28,Premium,H,SI2,62.1,59.0,17892,8.4,8.44,5.23,27336
26941,2.27,Premium,J,VS1,62.4,58.0,16994,8.36,8.41,5.23,26940
27071,2.3,Ideal,I,SI1,62.2,60.0,17193,8.43,8.39,5.23,27070
27018,2.27,Premium,J,VS1,62.4,58.0,17149,8.41,8.36,5.23,27017
27301,2.21,Very Good,I,SI1,62.9,59.0,17784,8.3,8.34,5.23,27300
26128,2.28,Premium,H,SI2,62.5,58.0,15413,8.39,8.33,5.23,26127
23514,2.19,Good,I,SI2,63.7,57.0,11522,8.23,8.19,5.23,23513
23691,2.19,Good,I,SI2,63.7,57.0,11756,8.23,8.19,5.23,23690
24537,2.18,Good,H,SI1,63.8,57.0,12825,8.24,8.17,5.23,24536
13119,2.15,Fair,J,I1,65.5,57.0,5430,8.01,7.95,5.23,13118
27352,2.01,Fair,G,VS2,67.5,55.0,17917,7.7,7.79,5.23,27351
26491,2.01,Fair,D,SI2,66.9,57.0,16086,7.87,7.76,5.23,26490
19922,2.5,Premium,H,I1,59.9,60.0,8467,8.75,8.67,5.22,19921
26804,2.39,Premium,H,SI1,60.6,58.0,16687,8.65,8.58,5.22,26803
19599,2.33,Premium,H,I1,60.7,58.0,8220,8.64,8.56,5.22,19598
26089,2.31,Premium,J,SI1,61.1,60.0,15323,8.58,8.51,5.22,26088
27171,2.19,Ideal,H,SI2,62.0,56.0,17433,8.36,8.48,5.22,27170
24148,2.3,Ideal,J,SI1,62.3,57.0,12316,8.41,8.34,5.22,24147
25062,2.22,Very Good,J,SI2,62.8,57.0,13579,8.29,8.33,5.22,25061
25141,2.22,Ideal,J,SI2,62.8,57.0,13703,8.33,8.29,5.22,25140
17467,2.23,Very Good,G,I1,63.5,57.0,7006,8.24,8.2,5.22,17466
24858,2.18,Premium,I,SI1,63.0,58.0,13263,8.23,8.17,5.22,24857
24397,2.11,Fair,G,SI2,65.0,56.0,12633,8.06,8.01,5.22,24396
27165,2.05,Fair,I,VS1,67.7,58.0,17408,7.74,7.68,5.22,27164
25649,2.51,Premium,H,SI2,59.3,61.0,14543,8.81,8.77,5.21,25648
27353,2.39,Very Good,J,VS1,59.6,60.0,17920,8.71,8.77,5.21,27352
26589,2.4,Premium,J,SI1,59.7,58.0,16304,8.75,8.71,5.21,26588
27464,2.33,Very Good,I,SI1,60.7,56.0,18119,8.55,8.61,5.21,27463
22998,2.3,Premium,I,SI2,61.3,58.0,11051,8.53,8.46,5.21,22997
20852,2.25,Ideal,E,I1,61.4,54.0,9072,8.52,8.46,5.21,20851
26267,2.24,Ideal,I,SI2,62.1,53.6,15730,8.38,8.41,5.21,26266
25410,2.23,Premium,J,SI1,62.4,59.0,14129,8.33,8.36,5.21,25409
27742,2.15,Ideal,G,SI2,62.6,54.0,18791,8.29,8.35,5.21,27741
27015,2.25,Ideal,I,SI2,62.4,57.0,17143,8.39,8.32,5.21,27014
25571,2.2,Ideal,H,SI2,62.6,55.0,14408,8.34,8.31,5.21,25570
25393,2.22,Premium,I,SI1,62.7,58.0,14095,8.33,8.28,5.21,25392
26895,2.18,Very Good,G,SI2,63.1,58.0,16878,8.29,8.23,5.21,26894
25203,2.26,Very Good,H,SI2,63.1,58.0,13797,8.3,8.22,5.21,25202
26556,2.2,Very Good,H,VS2,63.3,58.0,16239,8.25,8.22,5.21,26555
24612,2.11,Very Good,I,SI2,63.8,54.0,12937,8.13,8.19,5.21,24611
23059,2.2,Very Good,H,SI2,63.3,57.0,11088,8.28,8.17,5.21,23058
25274,2.2,Good,H,SI2,63.6,58.0,13919,8.21,8.17,5.21,25273
23842,2.1,Fair,G,SI2,65.0,56.0,11923,8.09,7.98,5.21,23841
22668,2.01,Fair,I,SI2,66.9,58.0,10711,7.93,7.69,5.21,22667
27522,2.52,Premium,I,SI1,58.5,59.0,18252,8.9,8.87,5.2,27521
27621,2.32,Very Good,H,SI2,60.6,58.0,18508,8.56,8.6,5.2,27620
27584,2.29,Premium,J,IF,61.4,60.0,18426,8.45,8.49,5.2,27583
27257,2.28,Premium,I,SI1,61.6,58.0,17673,8.43,8.46,5.2,27256
27651,2.29,Premium,J,IF,61.4,60.0,18594,8.49,8.45,5.2,27650
19947,2.34,Premium,I,I1,61.5,60.0,8491,8.47,8.43,5.2,19946
25147,2.2,Premium,I,SI2,61.8,54.0,13719,8.45,8.4,5.2,25146
26561,2.26,Premium,I,SI2,62.0,58.0,16241,8.4,8.37,5.2,26560
27123,2.26,Ideal,H,SI2,62.2,56.0,17312,8.38,8.35,5.2,27122
26253,2.18,Ideal,I,SI2,62.5,55.0,15706,8.31,8.34,5.2,26252
26373,2.18,Ideal,I,SI2,62.5,55.0,15850,8.34,8.31,5.2,26372
25107,2.21,Premium,J,SI2,62.7,57.0,13642,8.33,8.25,5.2,25106
25599,2.14,Good,I,SI2,63.8,57.0,14452,8.17,8.14,5.2,25598
24886,2.15,Good,G,SI2,63.8,58.0,13317,8.23,8.08,5.2,24885
26389,2.01,Fair,H,VS2,66.1,53.0,15888,7.82,7.92,5.2,26388
24613,2.27,Ideal,I,SI2,60.5,55.0,12939,8.63,8.53,5.19,24612
26138,2.26,Premium,H,SI2,61.3,60.0,15428,8.5,8.43,5.19,26137
27096,2.25,Premium,H,SI1,61.5,61.0,17233,8.47,8.41,5.19,27095
25540,2.27,Premium,I,SI1,61.0,58.0,14362,8.42,8.4,5.19,25539
26379,2.24,Ideal,I,SI2,62.1,57.0,15852,8.31,8.4,5.19,26378
27425,2.26,Very Good,D,SI2,61.6,61.0,18028,8.47,8.38,5.19,27424
25090,2.21,Ideal,H,SI2,61.9,56.0,13615,8.4,8.36,5.19,25089
27529,2.21,Ideal,G,SI2,61.9,55.0,18276,8.4,8.36,5.19,27528
26646,2.18,Ideal,J,VS2,62.2,55.0,16427,8.32,8.36,5.19,26645
26486,2.24,Very Good,H,SI2,62.3,57.0,16077,8.3,8.36,5.19,26485
26068,2.25,Good,J,SI1,62.4,61.0,15287,8.29,8.35,5.19,26067
27023,2.22,Very Good,I,SI1,62.4,55.0,17160,8.29,8.35,5.19,27022
25227,2.24,Premium,J,SI2,62.2,59.0,13827,8.37,8.33,5.19,25226
25813,2.19,Very Good,I,SI1,62.6,58.0,14819,8.24,8.33,5.19,25812
25497,2.22,Good,I,SI2,62.7,61.2,14285,8.23,8.31,5.19,25496
25579,2.22,Ideal,I,SI2,62.7,61.0,14416,8.31,8.23,5.19,25578
24459,2.14,Ideal,H,SI2,63.0,55.0,12720,8.25,8.23,5.19,24458
24076,2.18,Very Good,I,SI2,63.3,58.0,12220,8.22,8.18,5.19,24075
24924,2.13,Fair,H,SI2,64.5,58.0,13370,8.09,8.01,5.19,24923
26280,2.02,Good,I,VS1,65.5,57.0,15765,7.88,7.96,5.19,26279
24664,2.1,Fair,G,SI2,65.2,56.0,13007,7.97,7.93,5.19,24663
22811,2.0,Fair,I,SI2,65.9,57.0,10833,7.96,7.79,5.19,22810
22756,2.01,Fair,H,SI2,66.7,56.0,10772,7.8,7.76,5.19,22755
14914,2.03,Fair,H,I1,66.6,57.0,6002,7.81,7.75,5.19,14913
27587,2.44,Very Good,J,VS2,58.1,60.0,18430,8.89,8.93,5.18,27586
27727,2.36,Premium,H,SI2,59.4,58.0,18745,8.69,8.75,5.18,27726
27119,2.35,Premium,I,SI2,59.9,58.0,17294,8.68,8.61,5.18,27118
27438,2.21,Ideal,I,SI1,61.6,57.0,18062,8.38,8.43,5.18,27437
27344,2.2,Ideal,I,SI1,61.7,55.0,17895,8.37,8.41,5.18,27343
24479,2.2,Premium,H,SI2,61.5,58.0,12747,8.44,8.38,5.18,24478
27183,2.2,Ideal,H,VS2,61.7,55.0,17460,8.41,8.38,5.18,27182
25268,2.28,Ideal,G,SI2,61.6,57.0,13907,8.44,8.37,5.18,25267
26818,2.24,Ideal,I,SI2,61.7,58.0,16709,8.43,8.37,5.18,26817
26083,2.24,Ideal,J,VS2,61.8,54.0,15316,8.41,8.36,5.18,26082
22871,2.24,Premium,H,SI2,61.8,58.0,10913,8.41,8.34,5.18,22870
27670,2.16,Very Good,F,SI2,62.4,59.0,18678,8.28,8.33,5.18,27669
26923,2.28,Premium,H,SI2,61.9,61.0,16954,8.42,8.32,5.18,26922
26753,2.21,Ideal,D,SI2,62.0,57.0,16558,8.36,8.31,5.18,26752
23571,2.18,Premium,H,SI2,62.3,59.0,11579,8.37,8.26,5.18,23570
25976,2.19,Premium,I,SI2,62.5,58.0,15169,8.31,8.26,5.18,25975
25214,2.18,Very Good,J,SI1,62.9,59.0,13812,8.21,8.25,5.18,25213
26053,2.19,Ideal,I,SI2,62.5,56.0,15254,8.31,8.24,5.18,26052
25751,2.16,Ideal,J,SI1,63.0,55.0,14691,8.2,8.24,5.18,25750
25286,2.18,Premium,J,SI1,62.9,59.0,13938,8.25,8.21,5.18,25285
23970,2.15,Very Good,I,SI2,63.4,56.0,12100,8.2,8.15,5.18,23969
25486,2.16,Good,I,VS2,63.6,56.0,14266,8.18,8.12,5.18,25485
22872,2.0,Fair,H,SI2,67.9,55.0,10913,7.67,7.58,5.18,22871
26048,2.41,Premium,H,SI2,58.7,61.0,15248,8.85,8.76,5.17,26047
25054,2.3,Premium,J,SI2,59.7,58.0,13560,8.63,8.68,5.17,25053
25143,2.29,Premium,G,SI2,60.1,58.0,13711,8.63,8.58,5.17,25142
23072,2.25,Ideal,I,SI2,60.7,56.0,11104,8.54,8.5,5.17,23071
27677,2.19,Ideal,D,SI2,61.8,57.0,18693,8.23,8.49,5.17,27676
26949,2.26,Ideal,J,VS2,61.1,57.0,17010,8.44,8.47,5.17,26948
26213,2.26,Ideal,I,SI2,61.5,57.0,15606,8.36,8.44,5.17,26212
26465,2.23,Premium,J,VS1,61.7,58.0,16025,8.41,8.34,5.17,26464
23219,2.26,Premium,H,SI2,61.9,58.0,11226,8.37,8.33,5.17,23218
